id,smiles,pIC50,n,source
CHEMBL5437795,CCc1c(C(=O)/C=C/c2ccc(O)c([N+](=O)[O-])c2)oc2ccccc12,4.6,1,ChEMBL
CHEMBL5416515,O=Cc1cc(F)c(C(=O)Nc2cc(Cl)c3c(c2)OCCO3)cc1F,4.6,1,ChEMBL
CHEMBL4975056,Cc1[nH]c2ncnc(NC(=O)c3ccncc3Cl)c2c1C,4.6,1,ChEMBL
ALP-POS-88a7a97e-4,CC(C)(C)c1ccc(N(C(=O)c2cocn2)C(C(=O)NCc2cccnc2)c2cccnc2)cc1,4.6,1,Moonshot
MAT-POS-044491d2-3,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NC2CC2C(F)(F)F)c1,4.6,1,Moonshot
CHEMBL5441464,CC(C)[C@@H](Nc1ncnc2[nH]ccc12)c1ccc2c(c1)OCC(=O)N2,4.59,1,ChEMBL
CHEMBL5441648,Cc1nnc(Nc2ccc(C(=O)N[C@@H]3c4cccc(O)c4C[C@H]3C(=O)O)cc2)o1,4.59,1,ChEMBL
CHEMBL5442140,CCNC(=O)c1cc2c(N[C@@H](CC(=O)Nc3cnn(C(C)C)c3)C(C)C)ncnc2[nH]1,4.59,1,ChEMBL
LON-WEI-adc59df6-10,C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCCCSC)c1cccnc1,4.59,1,Moonshot
CHEMBL5174488,NC(=S)N/N=C/c1ccc(-c2ccc(Cl)c(C(=O)O)c2)o1,4.59,1,ChEMBL
CHEMBL5517705,Cc1ccc(-c2noc(-c3ccc(-c4ccccc4)cc3)n2)cc1NCc1ccc(C(=O)O)s1,4.59,1,ChEMBL
MAT-POS-a2421bb6-1,NC1CCc2c(NC(=O)C3CCOc4ccc(Cl)cc43)cncc21,4.59,1,Moonshot
ALP-POS-e980f4ea-32,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1cnc[nH]1)c1ccc(OC2CCOC2)cc1,4.59,1,Moonshot
WIL-UNI-d4749f31-37,O=C(NNc1nc2ccccc2[nH]1)c1cc(O)nc2ccccc12,4.59,1,Moonshot
JAG-UCB-52b62a6f-19,Cc1cc(C(F)(F)F)nc2n[nH]c(NC(=O)C3CCOc4ccc(Cl)cc43)c12,4.59,1,Moonshot
ALP-POS-305f6ec3-1,CC(C)(C)c1ccc(N(C(=O)c2cc(C3(O)COC3)on2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,4.58,1,Moonshot
TRY-UNI-714a760b-18,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,4.58,1,Moonshot
MAT-POS-bf364d7a-2,CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3[C@@H](C(=O)Nc3cncc4ccccc34)C2)CS(=O)(=O)C1,4.58,1,Moonshot
ALP-POS-568d9d36-1,C=CC(=O)N(c1ccc(I)cc1)C(C(=O)Nc1ccc(Cl)cc1)c1cncnc1,4.58,1,Moonshot
CHEMBL5187027,CC1(C)[C@H](C(=O)OCc2ccccc2)N2C(=O)[C@@H](NC(=O)COc3ccccc3)C[C@H]2S1(=O)=O,4.58,1,ChEMBL
CHEMBL5441514,O=C(O)C[C@@H](NC(=O)c1ncnc2[nH]ccc12)c1ccc(NCC2C[C@@H](O)[C@@H](O)C2)cc1,4.58,1,ChEMBL
CHEMBL6163724,COC(=O)/C=C/CNC(=O)CCc1ccccc1C(=O)N[C@H](C)c1cccc2ccccc12,4.58,1,ChEMBL
ALP-UNI-fe744232-18,CC(C)(O)c1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,4.58,1,Moonshot
DAR-DIA-23aa0b97-19,N#Cc1cccc(NC(=O)Cc2cncc3ccccc23)c1,4.57,1,Moonshot
CHEMBL4848534,Cn1cc(SCC(=O)NCc2ccccc2)c2ccccc21,4.57,1,ChEMBL
CHEMBL395990,C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc4c3)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,4.57,1,ChEMBL
CHEMBL5191524,O=C1OCCN1C(=O)C(Cc1ccccc1)Sc1nc2cc(Cl)ccc2n1Cc1ccccc1,4.57,1,ChEMBL
CHEMBL5432737,N#Cc1c(C(=O)NCc2ccc(O)c([N+](=O)[O-])c2)[nH]c2ccccc12,4.57,1,ChEMBL
CHEMBL5441589,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(-c4ccc(F)cc4)c3)cc12)c1ccc2c(c1)OCCO2,4.57,1,ChEMBL
CHEMBL6168096,CC(=O)/C=C/C(=O)NNC(=O)CCc1ccccc1C(=O)N[C@H](C)c1cccc2ccccc12,4.57,1,ChEMBL
CHEMBL6190204,Cn1cc(/C=N/NC(=O)c2ccc(CSc3cccc4cccnc34)cc2)cn1,4.57,1,ChEMBL
EDJ-MED-611d11e7-8,COc1ccc2cncc(NC(=O)[C@@H]3CCNc4cc(Cl)c(Cl)cc43)c2c1,4.56,1,Moonshot
KAD-UNI-b13decd3-4,NS(=O)(=O)c1ccc(CNC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)cc1F,4.56,1,Moonshot
ALP-POS-ced8ea4d-35,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1cocn1)c1cn(Cc2ccccc2)cn1,4.56,1,Moonshot
ERI-UCB-a0b0dbcb-11,COc1cccc(CN2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)c1,4.56,1,Moonshot
MAT-POS-916a2c5a-4,O=C(c1cc(=O)[nH]c2ccccc12)N1CCN(c2ccccc2)CC1,4.56,2,Moonshot
MAK-UNK-7c9d1431-17,COc1ccc(S(=O)(=O)N2CCN(C(=O)CCl)CC2)cc1,4.56,1,Moonshot
CHEMBL5201497,COc1cc2c(cc1Cl)nc(SC(Cc1ccco1)C(=O)N1CCOC1=O)n2Cc1ccccc1,4.56,1,ChEMBL
CHEMBL4526128,O=C(N[C@@H](Cc1ccc(O)cc1)C(=O)O)c1cc(-c2ccccc2)c(=O)n2c1sc1ccc(OC3CCCCC3)cc12,4.56,1,ChEMBL
CHEMBL5439086,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CS(=O)(=O)CCNS(=O)(=O)c2ccc([N+](=O)[O-])cc2)[C@@H](O)[C@H]1O,4.56,1,ChEMBL
CHEMBL5442006,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccc(CC#N)cc3)cc12)c1ccc2c(c1)OCCO2,4.56,1,ChEMBL
CHEMBL6114928,COc1cc(CNC(=O)C2CN(C(C)c3cccc4ccccc34)C2)ccn1,4.56,1,ChEMBL
GIA-UNK-a79af1bc-1,Cc1cc(C)nc(NC2CCN(C(=O)CCl)CC2)n1,4.56,1,Moonshot
LON-WEI-4d77710c-51,Cc1noc(C)c1CCNC(=O)Nc1cn(CC(C)C)c(=O)c2ccccc12,4.56,2,Moonshot
ALP-POS-ced8ea4d-11,CS(=O)(=O)Cc1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,4.56,1,Moonshot
